Imatest,2020.2.0, , CPIQ Dot Chart Analysis
File,dotpattern_example.png
Run date,23-Oct-2020 17:30:49,,Build 2020-09-30

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 94.570564, degrees,
VFOV, 82.102242, degrees,
DFOV, 108.975172, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 1.144420
CPIQ Quality Loss, 0.633132
Maximum LCA in Pixels, 1.430526
Number of Dots, 330

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
, 304.249930, 303.878272, 303.266778
, 249.661136, 249.354680, 248.850158
, 196.449858, 196.208804, 195.812311
, 196.449895, 196.208804, 195.812311
, 249.661136, 249.354680, 248.850158
, 304.249930, 303.878272, 303.266778
, 359.341927, 358.903373, 358.184386
, 414.531513, 414.026766, 413.199848
, 414.531621, 414.026766, 413.199848
, 406.565652, 406.071661, 405.257340
, 350.004049, 349.577286, 348.877337
, 293.031259, 292.670704, 292.081161
, 235.720376, 235.429478, 234.953940
, 178.238797, 178.019515, 177.659486
, 121.010151, 120.861753, 120.620156
, 65.689720, 65.609019, 65.480934
, 29.394355, 29.359378, 29.302947
, 65.689720, 65.609019, 65.480934
, 121.010151, 120.861753, 120.620156
, 178.238872, 178.019515, 177.659486
, 235.720376, 235.429478, 234.953940
, 293.031370, 292.670704, 292.081161
, 350.004049, 349.577286, 348.877337
, 406.565944, 406.071661, 405.257340
, 406.565473, 406.071661, 405.257340
, 350.003871, 349.577286, 348.877337
, 293.031165, 292.670704, 292.081161
, 235.720386, 235.429478, 234.953940
, 235.720386, 235.429478, 234.953940
, 293.031276, 292.670704, 292.081161
, 350.003871, 349.577286, 348.877337
, 406.565765, 406.071661, 405.257340
, 178.238761, 178.019515, 177.659486
, 121.009857, 120.861753, 120.620156
, 65.689271, 65.609019, 65.480934
, 29.393928, 29.359524, 29.303447
, 65.689271, 65.609019, 65.480934
, 121.009857, 120.861753, 120.620156
, 178.238835, 178.019515, 177.659486
, 414.531513, 414.026766, 413.199848
, 359.341927, 358.903373, 358.184395
, 359.341927, 358.903373, 358.184395
, 414.531621, 414.026766, 413.199848
, 304.249930, 303.878272, 303.266778
, 249.661017, 249.354680, 248.850158
, 196.449930, 196.208879, 195.812556
, 146.668832, 146.488270, 146.194643
, 105.882027, 105.752895, 105.543136
, 88.141105, 88.031587, 87.852831
, 105.882002, 105.752895, 105.543136
, 146.668832, 146.488270, 146.194643
, 196.449967, 196.208879, 195.812556
, 249.661017, 249.354680, 248.850158
, 304.249930, 303.878272, 303.266778
, 429.994728, 429.473695, 428.614820
, 377.268873, 376.807759, 376.052821
, 377.268873, 376.807759, 376.052821
, 429.994790, 429.473695, 428.614820
, 325.452797, 325.053766, 324.401853
, 275.341258, 275.002180, 274.451112
, 228.446648, 228.166688, 227.706752
, 187.598691, 187.369265, 186.991426
, 157.943632, 157.749882, 157.431742
, 157.943573, 157.749882, 157.431742
, 187.598691, 187.369265, 186.991426
, 228.447063, 228.166688, 227.706752
, 275.341258, 275.002180, 274.451112
, 325.452866, 325.053766, 324.401853
, 146.699807, 146.521180, 146.224118
, 452.105599, 451.557220, 450.658718
, 452.105753, 451.557220, 450.658718
, 402.556398, 402.067040, 401.263416
, 354.735351, 354.302597, 353.592864
, 354.735620, 354.302597, 353.592864
, 402.556398, 402.067040, 401.263416
, 309.736752, 309.361027, 308.737564
, 269.188660, 268.858647, 268.319196
, 235.776254, 235.487249, 235.011875
, 235.776254, 235.487249, 235.011875
, 269.188911, 268.858647, 268.319196
