Imatest,2020.2.0, , Uniformity
File,uniformity_example.jpg
Run date,21-Oct-2020 19:24:27,,Build 2020-09-30
92, 129, 2377, 109
93, 130, 89, 103
94, 130, 2401, 107
95, 131, 89, 103
96, 131, 496, 98
97, 145, 284, 102
98, 146, 2409, 106
99, 155, 7, 93
100, 155, 226, 98
A maximum of 100 of 332 dead pixels has been displayed.

Profiles (cross-sections) RGB unnormalized (max 1)
Distance,UL-LR(R),UL-LR(G),UL-LR(B), LL-UR(R),LL-UR(G),LL-UR(B),T-B(R),T-B(G),T-B(B), L-R(R),L-R(G),L-R(B)
  0.000,  0.396,  0.356,  0.369,  0.401,  0.326,  0.321,  0.415,  0.463,  0.455,  0.430,  0.406,  0.419
  0.025,  0.413,  0.386,  0.389,  0.437,  0.355,  0.351,  0.425,  0.473,  0.464,  0.440,  0.415,  0.423
  0.050,  0.429,  0.405,  0.406,  0.463,  0.381,  0.374,  0.430,  0.479,  0.466,  0.445,  0.421,  0.429
  0.075,  0.440,  0.421,  0.422,  0.479,  0.399,  0.390,  0.436,  0.484,  0.476,  0.451,  0.427,  0.435
  0.100,  0.440,  0.431,  0.424,  0.489,  0.410,  0.404,  0.441,  0.489,  0.484,  0.460,  0.435,  0.437
  0.125,  0.441,  0.438,  0.431,  0.493,  0.421,  0.415,  0.445,  0.492,  0.488,  0.467,  0.444,  0.445
  0.150,  0.444,  0.444,  0.439,  0.503,  0.431,  0.426,  0.452,  0.500,  0.492,  0.472,  0.449,  0.450
  0.175,  0.450,  0.451,  0.444,  0.506,  0.441,  0.437,  0.455,  0.503,  0.497,  0.478,  0.456,  0.462
  0.200,  0.455,  0.457,  0.449,  0.506,  0.451,  0.449,  0.458,  0.506,  0.498,  0.481,  0.465,  0.469
  0.225,  0.460,  0.463,  0.455,  0.506,  0.458,  0.459,  0.462,  0.510,  0.499,  0.482,  0.471,  0.472
  0.250,  0.464,  0.471,  0.465,  0.509,  0.465,  0.471,  0.466,  0.513,  0.505,  0.486,  0.477,  0.480
  0.275,  0.473,  0.478,  0.473,  0.510,  0.472,  0.482,  0.469,  0.516,  0.509,  0.487,  0.484,  0.486
  0.300,  0.475,  0.486,  0.481,  0.509,  0.481,  0.491,  0.474,  0.518,  0.513,  0.491,  0.490,  0.495
  0.325,  0.478,  0.493,  0.488,  0.505,  0.490,  0.503,  0.480,  0.520,  0.515,  0.492,  0.495,  0.507
  0.350,  0.483,  0.499,  0.494,  0.505,  0.501,  0.513,  0.484,  0.523,  0.522,  0.492,  0.504,  0.517
  0.375,  0.484,  0.504,  0.507,  0.507,  0.503,  0.521,  0.487,  0.523,  0.528,  0.491,  0.508,  0.520
  0.400,  0.481,  0.504,  0.513,  0.508,  0.506,  0.529,  0.487,  0.526,  0.529,  0.498,  0.508,  0.529
  0.425,  0.488,  0.516,  0.525,  0.503,  0.512,  0.537,  0.486,  0.525,  0.532,  0.494,  0.514,  0.531
  0.450,  0.489,  0.520,  0.531,  0.498,  0.518,  0.540,  0.487,  0.525,  0.535,  0.497,  0.517,  0.536
  0.475,  0.493,  0.520,  0.539,  0.496,  0.522,  0.543,  0.489,  0.525,  0.541,  0.493,  0.520,  0.538
  0.500,  0.491,  0.522,  0.542,  0.491,  0.522,  0.542,  0.492,  0.521,  0.542,  0.488,  0.523,  0.542
  0.525,  0.494,  0.526,  0.546,  0.491,  0.526,  0.538,  0.494,  0.525,  0.546,  0.488,  0.525,  0.541
  0.550,  0.497,  0.526,  0.545,  0.490,  0.526,  0.535,  0.497,  0.523,  0.546,  0.491,  0.525,  0.539
  0.575,  0.503,  0.524,  0.540,  0.492,  0.526,  0.532,  0.500,  0.522,  0.545,  0.497,  0.524,  0.538
  0.600,  0.503,  0.523,  0.537,  0.497,  0.523,  0.527,  0.501,  0.520,  0.544,  0.500,  0.521,  0.537
  0.625,  0.500,  0.520,  0.530,  0.500,  0.523,  0.521,  0.500,  0.519,  0.543,  0.493,  0.525,  0.529
  0.650,  0.504,  0.515,  0.522,  0.495,  0.519,  0.513,  0.501,  0.516,  0.539,  0.497,  0.522,  0.526
  0.675,  0.503,  0.509,  0.513,  0.493,  0.516,  0.509,  0.510,  0.510,  0.534,  0.497,  0.520,  0.521
  0.700,  0.497,  0.505,  0.503,  0.489,  0.513,  0.505,  0.508,  0.506,  0.532,  0.493,  0.517,  0.517
  0.725,  0.488,  0.499,  0.495,  0.484,  0.509,  0.500,  0.504,  0.500,  0.524,  0.480,  0.516,  0.508
  0.750,  0.477,  0.496,  0.488,  0.468,  0.510,  0.493,  0.500,  0.496,  0.522,  0.469,  0.511,  0.501
  0.775,  0.471,  0.491,  0.481,  0.464,  0.507,  0.492,  0.494,  0.491,  0.517,  0.463,  0.507,  0.498
  0.800,  0.470,  0.483,  0.468,  0.466,  0.501,  0.487,  0.489,  0.485,  0.509,  0.455,  0.502,  0.486
  0.825,  0.465,  0.470,  0.456,  0.465,  0.493,  0.480,  0.485,  0.475,  0.501,  0.449,  0.496,  0.481
  0.850,  0.459,  0.463,  0.441,  0.466,  0.489,  0.471,  0.479,  0.469,  0.494,  0.449,  0.486,  0.474
