Imatest,2020.2.0,,Random
File,random_example.jpg
Run date,21-Oct-2020 12:45:27,,Build 2020-09-30

Image pixels (WxH),1680,1260
Crop,1214,1214
L R T B, 234,1447,24,1237
pixels/in,0
pixels/mm,0
um/pixel,0
MTF30,NaN Cy/Pxl,Secondary readout
MTF20,NaN Cy/Pxl,Secondary readout 2
MTF20,NaN Cy/Pxl,Secondary readout 3

Table of MTF
f (c/p),f (C/P),MTF,MTF w/noise,Noise PSD,S+N PSD,Signal PSD,,Seg 1
 0.3799,   0.3799, 0.7419, 0.7419, 0.0000000, 0.0001858, 0.0001858,, 0.7419
 0.3878,   0.3878, 0.7266, 0.7266, 0.0000000, 0.0001711, 0.0001711,, 0.7266
 0.3957,   0.3957, 0.7053, 0.7053, 0.0000000, 0.0001549, 0.0001549,, 0.7053
 0.4036,   0.4036, 0.6817, 0.6817, 0.0000000, 0.0001391, 0.0001391,, 0.6817
 0.4114,   0.4114, 0.6584, 0.6584, 0.0000000, 0.0001249, 0.0001249,, 0.6584
 0.4193,   0.4193, 0.6325, 0.6325, 0.0000000, 0.0001110, 0.0001110,, 0.6325
 0.4272,   0.4272, 0.6252, 0.6252, 0.0000000, 0.0001045, 0.0001045,, 0.6252
 0.4351,   0.4351, 0.6045, 0.6045, 0.0000000, 0.0000942, 0.0000942,, 0.6045
 0.4429,   0.4429, 0.5824, 0.5824, 0.0000000, 0.0000844, 0.0000844,, 0.5824
 0.4508,   0.4508, 0.5686, 0.5686, 0.0000000, 0.0000776, 0.0000776,, 0.5686
 0.4587,   0.4587, 0.5551, 0.5551, 0.0000000, 0.0000715, 0.0000715,, 0.5551
 0.4665,   0.4665, 0.5431, 0.5431, 0.0000000, 0.0000662, 0.0000662,, 0.5431
 0.4744,   0.4744, 0.5303, 0.5303, 0.0000000, 0.0000610, 0.0000610,, 0.5303
 0.4823,   0.4823, 0.5216, 0.5216, 0.0000000, 0.0000571, 0.0000571,, 0.5216
 0.4902,   0.4902, 0.5150, 0.5150, 0.0000000, 0.0000539, 0.0000539,, 0.5150
 0.4980,   0.4980, 0.5084, 0.5084, 0.0000000, 0.0000509, 0.0000509,, 0.5084

MTFnn C/P, Mean,  Seg 1,
MTF70 C/P,0.3975, 0.3975, 
MTF50 C/P,   NaN,    NaN, 
MTF30 C/P,   NaN,    NaN, 
MTF20 C/P,   NaN,    NaN, 
MTF10 C/P,   NaN,    NaN, 
MTFnnP C/P, Mean,  Seg 1,
MTF70P C/P,0.3975, 0.3975, 
MTF50P C/P,   NaN,    NaN, 
MTF30P C/P,   NaN,    NaN, 
MTF20P C/P,   NaN,    NaN, 
MTF10P C/P,   NaN,    NaN, 
Undersharpening %,11.937

Acutance (CPIQ), Region, 1 of 1
Print height ,Viewing dist (cm),Acutance
    5,100.00,  0.95
    6,100.00,  0.95
    7,100.00,  0.95
    8,100.00,  0.94
    9,100.00,  0.94
   10,100.00,  0.94
   11,100.00,  0.94
   12,100.00,  0.94
   13,100.00,  0.93
   14,100.00,  0.93
