Imatest,2020.2.0,,Star
File,star_example.jpg
Run date,30-Oct-2020 19:53:19,,Build 2020-09-30

Image pixels (WxH),3888,2592
Crop,783,719
L R T B, 2305,3087,922,1640
pixels/in,0
pixels/mm,0
um/pixel,0
Color channel, Y
Gamma, 0.5, (input), used
Gamma, 0.453, (chart calc.), not used
Max detected f (c/p), 0.628
Segments to analyze, 8
Star type, Full circle
MTF30,0.351 Cy/Pxl,Secondary readout

MTF unsmoothed for 64 radii
N,Radius, f (C/P), Mean, Seg 1, Seg 2, Seg 3, Seg 4, Seg 5, Seg 6, Seg 7, Seg 8
37, 93.3871,  0.2454,  0.8151,  0.9042,  0.6869,  0.8889,  0.8122,  0.8301,  0.6951,  0.8717,  0.8337
38, 90.1917,  0.2541,  0.7924,  0.8670,  0.6744,  0.8410,  0.8079,  0.8188,  0.6836,  0.8707,  0.7759
39, 87.1057,  0.2631,  0.7480,  0.8407,  0.5899,  0.8044,  0.7444,  0.8052,  0.6023,  0.8146,  0.7815
40, 84.1252,  0.2724,  0.7170,  0.8038,  0.5695,  0.7784,  0.7336,  0.7800,  0.5862,  0.7736,  0.7072
41, 81.2468,  0.2821,  0.6612,  0.7989,  0.4660,  0.7140,  0.6519,  0.7597,  0.4914,  0.7094,  0.6940
42, 78.4668,  0.2921,  0.6183,  0.7562,  0.4531,  0.6615,  0.6227,  0.7386,  0.4719,  0.6421,  0.5922
43, 75.7819,  0.3024,  0.5579,  0.7154,  0.3876,  0.5639,  0.5560,  0.6790,  0.4187,  0.5906,  0.5443
44, 73.1889,  0.3131,  0.5003,  0.6787,  0.3236,  0.4991,  0.4800,  0.6607,  0.3544,  0.5159,  0.4798
45, 70.6847,  0.3242,  0.4349,  0.6057,  0.2655,  0.4489,  0.3966,  0.6007,  0.2903,  0.4336,  0.4268
46, 68.2661,  0.3357,  0.3817,  0.5547,  0.2285,  0.3955,  0.3390,  0.5708,  0.2534,  0.3562,  0.3416
47, 65.9303,  0.3476,  0.3084,  0.4912,  0.0975,  0.3237,  0.2562,  0.5043,  0.1676,  0.3015,  0.3122
48, 63.6744,  0.3599,  0.2558,  0.4013,  0.1333,  0.2336,  0.2197,  0.4082,  0.1316,  0.2353,  0.2740
49, 61.4957,  0.3727,  0.2061,  0.3559,  0.1119,  0.1934,  0.1725,  0.3412,  0.1221,  0.1882,  0.1541
50, 59.3915,  0.3859,  0.1651,  0.2551,  0.0977,  0.1423,  0.1500,  0.2732,  0.1116,  0.1378,  0.1443
51, 57.3594,  0.3996,  0.1193,  0.1872,  0.0750,  0.0856,  0.1135,  0.2005,  0.0892,  0.0964,  0.1002
52, 55.3967,  0.4137,  0.0928,  0.1155,  0.0740,  0.0585,  0.1144,  0.1376,  0.0796,  0.0593,  0.0986
53, 53.5013,  0.4284,  0.0520,  0.0608,  0.0469,  0.0233,  0.0631,  0.0746,  0.0574,  0.0280,  0.0587
54, 51.6706,  0.4435,  0.0333,  0.0317,  0.0407,  0.0183,  0.0475,  0.0434,  0.0212,  0.0260,  0.0362
55, 49.9027,  0.4593,  0.0231,  0.0067,  0.0318,  0.0178,  0.0318,  0.0234,  0.0274,  0.0078,  0.0373
56, 48.1952,  0.4755,  0.0204,  0.0104,  0.0224,  0.0088,  0.0430,  0.0014,  0.0235,  0.0106,  0.0435
57, 46.5461,  0.4924,  0.0143,  0.0159,  0.0165,  0.0095,  0.0200,  0.0082,  0.0192,  0.0049,  0.0201
58, 44.9535,  0.5098,  0.0065,  0.0074,  0.0030,  0.0038,  0.0029,  0.0068,  0.0102,  0.0055,  0.0120
59, 43.4153,  0.5279,  0.0091,  0.0073,  0.0023,  0.0064,  0.0215,  0.0066,  0.0080,  0.0042,  0.0162
60, 41.9298,  0.5466,  0.0057,  0.0051,  0.0087,  0.0016,  0.0122,  0.0069,  0.0010,  0.0013,  0.0085
61, 40.4951,  0.5660,  0.0038,  0.0018,  0.0019,  0.0028,  0.0047,  0.0069,  0.0024,  0.0045,  0.0054
62, 39.1095,  0.5860,  0.0076,  0.0092,  0.0040,  0.0079,  0.0118,  0.0121,  0.0057,  0.0033,  0.0057
63, 37.7713,  0.6068,  0.0055,  0.0086,  0.0071,  0.0072,  0.0021,  0.0101,  0.0026,  0.0026,  0.0033
64, 36.4789,  0.6283,  0.0051,  0.0075,  0.0058,  0.0022,  0.0022,  0.0047,  0.0089,  0.0037,  0.0055

MTF interpolated and smoothed for alternate steps (1:2:101)
N,f (C/P), Mean , Seg 1, Seg 2, Seg 3, Seg 4, Seg 5, Seg 6, Seg 7, Seg 8
1,  0.0701,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000,  1.0000
3,  0.0812,  0.9936,  0.9967,  0.9909,  0.9909,  0.9967,  0.9933,  0.9918,  0.9909,  0.9971
5,  0.0924,  0.9876,  0.9952,  0.9785,  0.9853,  0.9928,  0.9885,  0.9803,  0.9857,  0.9941
7,  0.1036,  0.9831,  0.9959,  0.9629,  0.9871,  0.9870,  0.9864,  0.9656,  0.9883,  0.9913
9,  0.1147,  0.9793,  0.9975,  0.9453,  0.9941,  0.9801,  0.9848,  0.9490,  0.9953,  0.9882
11,  0.1259,  0.9753,  0.9981,  0.9291,  1.0013,  0.9734,  0.9822,  0.9334,  1.0019,  0.9834
13,  0.1371,  0.9704,  0.9963,  0.9144,  1.0051,  0.9678,  0.9778,  0.9193,  1.0064,  0.9768
15,  0.1482,  0.9636,  0.9914,  0.8991,  1.0048,  0.9611,  0.9710,  0.9041,  1.0074,  0.9711
17,  0.1594,  0.9542,  0.9827,  0.8825,  1.0020,  0.9503,  0.9614,  0.8866,  1.0038,  0.9660
19,  0.1705,  0.9431,  0.9716,  0.8662,  0.9971,  0.9365,  0.9493,  0.8685,  0.9979,  0.9596
21,  0.1817,  0.9313,  0.9609,  0.8508,  0.9902,  0.9223,  0.9350,  0.8518,  0.9916,  0.9509
23,  0.1929,  0.9188,  0.9504,  0.8349,  0.9823,  0.9074,  0.9188,  0.8363,  0.9847,  0.9390
25,  0.2040,  0.9044,  0.9375,  0.8152,  0.9739,  0.8905,  0.9040,  0.8180,  0.9747,  0.9247
27,  0.2152,  0.8861,  0.9226,  0.7880,  0.9601,  0.8711,  0.8897,  0.7919,  0.9603,  0.9086
29,  0.2264,  0.8635,  0.9073,  0.7552,  0.9375,  0.8502,  0.8722,  0.7599,  0.9420,  0.8869
31,  0.2375,  0.8373,  0.8951,  0.7191,  0.9079,  0.8293,  0.8525,  0.7256,  0.9156,  0.8561
33,  0.2487,  0.8059,  0.8794,  0.6782,  0.8703,  0.8053,  0.8324,  0.6870,  0.8799,  0.8156
35,  0.2599,  0.7663,  0.8516,  0.6254,  0.8259,  0.7701,  0.8116,  0.6372,  0.8352,  0.7726
